id,td,session,dir,code,reason,pnl_pts,atr,entry,exit,w_pnl,w_status
1779416504367,2026-05-22,day,long,8,replaced,15,80,42105,42120,15,reversed
1779417464369,2026-05-22,day,long,8,loss,-98.0,65,42120,42022.0,-98,loss
1779419264891,2026-05-22,day,short,4,loss,32.0,60,41944,41912.0,33,trail
1779420944162,2026-05-22,day,long,1,replaced,17,80,42148,42165,17,reversed
1779421904440,2026-05-22,day,long,8,loss,107.0,73,42165,42272.0,108,trail
1779423704433,2026-05-22,day,short,3,replaced,-13,56,42359,42372,-13,reversed
1779424904744,2026-05-22,day,short,3,replaced,-76,57,42372,42448,-76,reversed
1779425864370,2026-05-22,day,short,3,replaced,-1,53,42448,42449,-1,reversed
1779426824373,2026-05-22,day,short,3,replaced,4,42,42449,42445,4,reversed
1779427784706,2026-05-22,night,short,3,loss,45.0,40,42445,42400.0,45,trail
1779437866740,2026-05-22,night,long,2,loss,-72.0,48,42553,42481.0,-72,loss
1779440686695,2026-05-22,night,short,4,loss,20.0,56,42418,42398.0,15,trail
1779441826691,2026-05-22,night,short,4,loss,-65.0,44,42400,42465.0,-67,loss
1779444286701,2026-05-22,night,short,4,replaced,9,37,42406,42397,6,reversed
1779445247260,2026-05-22,night,short,4,loss,23.0,32,42397,42374.0,18,trail
1779446206733,2026-05-22,night,short,4,loss,23.0,34,42379,42356.0,23,trail
1779447166720,2026-05-22,night,short,4,replaced,-1,34,42370,42371,-2,reversed
1779448127269,2026-05-22,night,short,4,replaced,6,35,42371,42365,6,reversed
1779449087259,2026-05-22,night,short,4,loss,-52.0,32,42365,42417.0,-48,loss
1779454848442,2026-05-22,night,long,8,loss,27.0,40,42505,42532.0,40,trail
1779455806710,2026-05-22,night,long,8,loss,-50.0,38,42528,42478.0,22,trail
1779457186719,2026-05-22,night,long,2,loss,-50.0,57,42574,42524.0,-85,loss
1779458386710,2026-05-22,night,long,1,loss,-115.0,71,42564,42449.0,-110,reversed
1779459824398,2026-05-22,night,short,4,loss,-96.0,78,42445,42541.0,-116,loss
1779461142566,2026-05-22,night,long,1,loss,60.0,58,42565,42625.0,69,trail
1779672999773,2026-05-25,day,short,3,replaced,9,124,43959,43950,9,reversed
1779674860909,2026-05-25,day,short,3,loss,118.0,91,43990,43872.0,118,trail
1779680979749,2026-05-25,day,short,4,loss,-88.0,59,43648,43736.0,-88,loss
1779686739752,2026-05-25,day,long,1,loss,34.0,46,43829,43863.0,55,trail
1779687941542,2026-05-25,night,long,2,loss,31.0,60,43880,43911.0,31,trail
1779694247555,2026-05-25,night,long,8,loss,33.0,65,43884,43917.0,33,trail
1779695207551,2026-05-25,night,long,8,replaced,-7,61,43933,43926,-7,reversed
1779696168928,2026-05-25,night,long,8,loss,31.0,50,43926,43957.0,31,trail
1779700307550,2026-05-25,night,long,2,loss,-34.0,23,43982,43948.0,18,reversed
1779705768963,2026-05-25,night,long,2,profit,38.0,17,44000,44038.0,19,trail
1779707087557,2026-05-25,night,long,8,profit,47.0,21,44011,44058.0,47,profit
1779708347554,2026-05-25,night,short,3,replaced,-17,26,44066,44083,-17,reversed
1779710267551,2026-05-25,night,short,3,loss,36.0,30,44125,44089.0,37,trail
1779717347562,2026-05-25,night,long,1,profit,57.0,25,44156,44213.0,57,profit
1779720167560,2026-05-25,night,long,8,loss,29.0,40,44214,44243.0,29,trail
1779722747555,2026-05-25,night,short,3,loss,-55.0,37,44317,44372.0,-55,loss
1779736007555,2026-05-25,night,long,8,loss,-23.0,12,44348,44325.0,-23,loss
1779739307561,2026-05-25,night,long,8,profit,29.0,10,44347,44376.0,29,profit
1779741527557,2026-05-25,night,long,8,loss,-25.0,13,44366,44341.0,-25,loss
1779757237051,2026-05-26,day,short,4,loss,67.0,87,44219,44152.0,195,profit
1779760537263,2026-05-26,day,short,4,replaced,66,133,43881,43815,47,reversed
1779772237812,2026-05-26,break,long,8,profit,113,48,43827,43940,34,profit
1779774337627,2026-05-26,night,long,2,trail,44.0,54,43895,43939.0,44,trail
1779780697034,2026-05-26,night,long,8,trail,23.0,57,43869,43892.0,26,reversed
1779781957407,2026-05-26,night,long,8,replaced,14,53,43895,43909,14,reversed
1779782977448,2026-05-26,night,long,8,trail,14.0,49,43909,43923.0,14,trail
1779783937033,2026-05-26,night,long,8,loss,-12,38,43952,43940,-12,loss
1779785556997,2026-05-26,night,long,2,replaced,-28,40,44020,43992,-28,reversed
1779786517406,2026-05-26,night,long,8,trail,57.0,45,43992,44049.0,22,trail
1779787776999,2026-05-26,night,long,1,replaced,12,53,44037,44049,12,reversed
1779788737251,2026-05-26,night,long,8,trail,14.0,40,44049,44063.0,17,reversed
1779789877522,2026-05-26,night,long,8,profit,83.0,37,44066,44149.0,83,profit
1779791136995,2026-05-26,night,short,3,loss,-41.0,27,44139,44180.0,-41,loss
1779800437215,2026-05-26,night,long,8,loss,-34.0,23,44166,44132.0,51,profit
1779802416996,2026-05-26,night,long,2,profit,60.0,27,44200,44260.0,60,profit
1779803377656,2026-05-26,night,long,2,loss,-87.0,58,44491,44404.0,-87,loss
1779804337058,2026-05-26,night,long,8,replaced,108,81,44302,44410,108,reversed
1779805297403,2026-05-26,night,long,8,reversed,60,93,44410,44470,60,reversed
1779806257498,2026-05-26,night,short,3,trail,61.0,75,44470,44409.0,112,trail
1779810764021,2026-05-26,night,short,4,trail,45.0,53,44300,44255.0,45,trail
1779815984016,2026-05-26,night,long,8,replaced,31,34,44380,44411,31,reversed
1779816945079,2026-05-26,night,long,8,replaced,9,33,44411,44420,9,reversed
1779818145017,2026-05-26,night,long,8,trail,21.0,32,44420,44441.0,24,trail
1779820124016,2026-05-26,night,long,8,reversed,7,23,44439,44446,7,reversed
1779823725020,2026-05-26,night,short,6,reversed,-23,21,44446,44469,-23,reversed
1779824805040,2026-05-26,night,long,8,loss,-39.0,19,44469,44430.0,-38,loss
1779844544064,2026-05-27,day,short,3,loss,-174.0,95,44946,45120.0,97,trail
1779848144054,2026-05-27,day,long,1,replaced,12,119,44975,44987,6,reversed
1779849047393,2026-05-27,day,long,8,profit,216.0,96,44987,45203.0,144,trail
1779850124016,2026-05-27,day,long,2,loss,-140.0,100,45173,45033.0,-150,loss
1779854624035,2026-05-27,day,short,4,profit,178.0,80,44910,44732.0,178,profit
1779858345082,2026-05-27,day,short,4,loss,-192.0,128,44618,44810.0,-192,loss
1779867046331,2026-05-27,night,long,8,loss,-89.0,68,44787,44698.0,-32,reversed
1779868485045,2026-05-27,night,long,8,trail,50.0,56,44768,44818.0,38,reversed
1779869505041,2026-05-27,night,long,8,profit,122.0,54,44818,44940.0,94,trail
1779872732273,2026-05-27,night,long,8,profit,82,44,44937,45019,99,profit
1779873872273,2026-05-27,night,long,2,trail,49.0,46,45009,45058.0,42,trail
1779875372268,2026-05-27,night,short,3,loss,-81.0,48,45077,45158.0,-72,loss
1779877592952,2026-05-27,night,short,3,trail,45.0,43,45195,45150.0,45,trail
1779879752276,2026-05-27,night,long,2,trail,42.0,49,45258,45300.0,110,profit
1779881072283,2026-05-27,night,long,2,reversed,4,59,45372,45376,-5,reversed
1779882992275,2026-05-27,night,short,3,loss,-81.0,52,45444,45525.0,-78,loss
1779899123471,2026-05-27,night,long,8,trail,88.0,82,45029,45117.0,109,trail
1779900983493,2026-05-27,night,long,8,loss,-132.0,60,45050,44918.0,-121,loss
1779903683487,2026-05-27,night,long,8,replaced,37,67,45031,45068,32,reversed
1779904765021,2026-05-27,night,long,8,replaced,43,54,45068,45111,50,reversed
1779905725097,2026-05-27,night,long,8,trail,17.0,46,45111,45128.0,4,reversed
1779907105043,2026-05-27,night,long,8,trail,48.0,40,45115,45163.0,48,trail
1779909983481,2026-05-27,night,long,8,trail,48.0,35,45207,45255.0,27,reversed
1779911305004,2026-05-27,night,long,8,loss,-79.0,39,45234,45155.0,-78,loss
1779954503513,2026-05-28,night,long,8,trail,100.0,89,44040,44140.0,107,reversed
1779956185061,2026-05-28,night,long,8,replaced,30,67,44136,44166,33,reversed
1779957124172,2026-05-28,night,long,8,replaced,-15,69,44166,44151,-25,reversed
1779958084165,2026-05-28,night,long,8,profit,125.0,55,44151,44276.0,125,profit
1779959043339,2026-05-28,night,long,2,loss,-101.0,55,44277,44176.0,-82,loss
1779960423337,2026-05-28,night,long,1,loss,-105.0,47,44235,44130.0,-71,loss
1779965463367,2026-05-28,night,short,4,replaced,6,53,44075,44069,17,reversed
1779969003359,2026-05-28,night,long,8,trail,19.0,54,44206,44225.0,21,trail
1779973204115,2026-05-28,night,short,3,loss,-83.0,59,44448,44531.0,-114,reversed
1779975063242,2026-05-28,night,long,2,loss,-91.0,60,44557,44466.0,-89,loss
1779977582136,2026-05-28,night,long,2,trail,75.0,125,44585,44660.0,35,trail
1779980702162,2026-05-28,night,short,6,loss,-143.0,91,44740,44883.0,36,trail
1779999902111,2026-05-29,break,long,8,loss,-116.0,24,44776,44660.0,-48,loss
1780021502217,2026-05-29,day,long,8,trail,121.0,118,45108,45229.0,115,trail
1780026482125,2026-05-29,day,long,1,profit,140.0,62,45265,45405.0,73,trail
1780029541895,2026-05-29,day,long,2,trail,39.0,52,45389,45428.0,65,trail
1780030861913,2026-05-29,day,long,1,loss,-72.0,54,45425,45353.0,-81,loss
1780043692984,2026-05-29,night,long,1,profit,99.0,44,45368,45467.0,99,profit
1780045912952,2026-05-29,night,long,2,trail,34.0,46,45510,45544.0,25,trail
1780048373772,2026-05-29,night,long,8,loss,-86.0,58,45522,45436.0,-87,loss
1780054432983,2026-05-29,night,short,4,loss,-74.0,50,45361,45435.0,-75,loss
1780063192989,2026-05-29,night,long,8,loss,-7,85,45399,45392,-28,loss
